customerid,recency,frequency,monetary,log_frequency,log_monetary,_features,kmeans_cluster,hier_cluster
12347.0,2,7,3750.2,2.0794415416798357,8.229831067775377,[-0.90574587  1.11282316  1.4945072 ],1,1
12348.0,75,4,962.8399999999999,1.6094379124341003,6.8709253057314195,[-0.17430066  0.41194071  0.37252417],0,0
12349.0,19,1,1457.55,0.6931471805599453,7.285198070516535,[-0.73540931 -0.95445744  0.71456923],0,3
12350.0,310,1,334.4,0.6931471805599453,5.815323849389109,[ 2.18035171 -0.95445744 -0.49903511],2,2
12352.0,36,7,1665.74,2.0794415416798357,7.418624901780156,[-0.56507276  1.11282316  0.82473334],1,1
12353.0,204,1,89.0,0.6931471805599453,4.499809670330265,[ 1.11825319 -0.95445744 -1.5851918 ],2,2
12354.0,232,1,1079.4,0.6931471805599453,6.985086621918461,[ 1.39880752 -0.95445744  0.46678167],2,2
12355.0,214,1,339.4,0.6931471805599453,5.830121396699219,[ 1.21845117 -0.95445744 -0.48681749],2,2
12356.0,23,3,1904.35,1.3862943611198906,7.552420997719177,[-0.69533012  0.07918286  0.93520233],1,0
12357.0,33,1,3979.75,0.6931471805599453,8.289225522736535,[-0.59513215 -0.95445744  1.54354634],0,0
12358.0,2,2,579.6600000000001,1.0986122886681098,6.364165387622173,[-0.90574587 -0.34981663 -0.04588309],0,3
12359.0,58,4,4958.03,1.6094379124341003,8.508965436077611,[-0.34463722  0.41194071  1.724975  ],1,0
12360.0,52,3,2382.06,1.3862943611198906,7.776140655128395,[-0.404756    0.07918286  1.11991688],1,0
12361.0,287,1,189.9,0.6931471805599453,5.251749730731702,[ 1.94989637 -0.95445744 -0.96435111],2,2
12362.0,3,10,5226.23,2.3978952727983707,8.56163678004062,[-0.89572607  1.5877102   1.76846319],1,1
12363.0,110,2,552.0,1.0986122886681098,6.315358001522335,[ 0.17639224 -0.34981663 -0.08618099],0,0
12364.0,8,4,1313.1,1.6094379124341003,7.180907299649593,[-0.84562708  0.41194071  0.62846137],1,0
12365.0,291,1,320.69,0.6931471805599453,5.773588348900164,[ 1.98997556 -0.95445744 -0.5334941 ],2,2
12367.0,4,1,168.9,0.6931471805599453,5.135210028677887,[-0.88570627 -0.95445744 -1.06057233],0,3
12370.0,51,4,3258.74,1.6094379124341003,8.08940271657896,[-0.4147758   0.41194071  1.37856227],1,0
12371.0,60,1,1527.96,0.6931471805599453,7.33234304469739,[-0.32459762 -0.95445744  0.75349457],0,0
12372.0,72,3,1298.04,1.3862943611198906,7.169380809114136,[-0.20436006  0.07918286  0.6189445 ],0,0
12373.0,311,1,364.6,0.6931471805599453,5.901539839579995,[ 2.19037151 -0.95445744 -0.42785072],2,2
12374.0,25,1,622.93,0.6931471805599453,6.436038182589659,[-0.67529053 -0.95445744  0.01345882],0,3
12375.0,11,2,457.5,1.0986122886681098,6.127960291696519,[-0.81556769 -0.34981663 -0.24090626],0,3
12377.0,315,2,1628.12,1.0986122886681098,7.395795270713971,[ 2.2304507  -0.34981663  0.80588402],2,2
12378.0,130,1,4008.62,0.6931471805599453,8.29645175271804,[ 0.37678819 -0.95445744  1.54951269],0,0
12379.0,82,2,852.24,1.0986122886681098,6.749040867823617,[-0.10416208 -0.34981663  0.27189006],0,0
12380.0,22,4,2150.79,1.6094379124341003,7.674055332876959,[-0.70534992  0.41194071  1.03562995],1,0
12381.0,5,5,1605.31,1.791759469228055,7.381694902031486,[-0.87568648  0.68382367  0.79424202],1,0
12383.0,185,5,1850.56,1.791759469228055,7.523783805985769,[0.92787704 0.68382367 0.91155798],1,0
12384.0,29,2,585.27,1.0986122886681098,6.373780434317173,[-0.63521134 -0.34981663 -0.03794441],0,3
12386.0,338,2,401.9,1.0986122886681098,5.998688392197302,[ 2.46090604 -0.34981663 -0.34763984],2,2
12388.0,16,6,2780.66,1.9459101490553132,7.930803150780256,[-0.76546871  0.91369744  1.24761425],1,1
12390.0,80,1,549.84,0.6931471805599453,6.311444385858925,[-0.12420168 -0.95445744 -0.08941228],0,3
12391.0,22,1,439.66,0.6931471805599453,6.0882736030360425,[-0.70534992 -0.95445744 -0.27367364],0,3
12393.0,72,4,1441.0,1.6094379124341003,7.273786317844895,[-0.20436006  0.41194071  0.7051471 ],1,0
12394.0,64,2,420.91999999999996,1.0986122886681098,6.044815722604977,[-0.28451843 -0.34981663 -0.30955472],0,3
12395.0,19,12,3018.63,2.5649493574615367,8.012889586306857,[-0.73540931  1.83682588  1.31538907],1,1
12397.0,36,2,2177.4,1.0986122886681098,7.68634594135955,[-0.56507276 -0.34981663  1.04577771],0,0
12398.0,46,1,1435.66,0.6931471805599453,7.270076254047687,[-0.46487479 -0.95445744  0.70208388],0,0
12399.0,119,4,1108.65,1.6094379124341003,7.011799929268738,[0.26657042 0.41194071 0.48883756],0,0
12401.0,303,1,84.3,0.6931471805599453,4.446174454497633,[ 2.11021313 -0.95445744 -1.62947581],2,2
12402.0,323,1,225.6,0.6931471805599453,5.423186348593906,[ 2.31060908 -0.95445744 -0.82280415],2,2
12403.0,50,1,128.9,0.6931471805599453,4.866764923676554,[-0.4247956  -0.95445744 -1.28221452],0,3
12405.0,149,1,1390.39,0.6931471805599453,7.238058526457821,[ 0.56716434 -0.95445744  0.67564838],0,0
12406.0,22,2,2971.5,1.0986122886681098,7.997158628564937,[-0.70534992 -0.34981663  1.30240077],1,0
12407.0,50,5,1708.1200000000001,1.791759469228055,7.4437338971514055,[-0.4247956   0.68382367  0.84546463],1,0
12408.0,33,5,2432.55,1.791759469228055,7.7971063756003405,[-0.59513215  0.68382367  1.13722726],1,1
12409.0,79,3,3777.59,1.3862943611198906,8.23710620315289,[-0.13422147  0.07918286  1.50051393],1,0
12410.0,309,2,533.33,1.0986122886681098,6.281013625618804,[ 2.17033191 -0.34981663 -0.11453749],2,2
12412.0,75,3,1226.88,1.3862943611198906,7.1130443840624835,[-0.17430066  0.07918286  0.57243023],0,0
12413.0,67,3,758.1,1.3862943611198906,6.632133521022722,[-0.25445904  0.07918286  0.17536529],0,0
12414.0,217,3,562.41,1.3862943611198906,6.334007604663525,[ 1.24851056  0.07918286 -0.07078292],2,0
12415.0,25,15,13283.05,2.772588722239781,9.494319346416082,[-0.67529053  2.14646346  2.53853426],1,1
12417.0,3,9,3649.1,2.302585092994046,8.202509843461513,[-0.89572607  1.44558101  1.47194938],1,1
12418.0,113,1,668.58,0.6931471805599453,6.506650650150935,[ 0.20645164 -0.95445744  0.07176013],0,0
12420.0,64,1,600.39,0.6931471805599453,6.3992436425478765,[-0.28451843 -0.95445744 -0.01692066],0,0
12421.0,16,4,807.04,1.6094379124341003,6.694611562246261,[-0.76546871  0.41194071  0.2269504 ],0,0
12422.0,96,3,683.5600000000001,1.3862943611198906,6.5287762961097995,[0.03611508 0.07918286 0.09002821],0,0
12423.0,1,8,1859.31,2.1972245773362196,7.528498419486568,[-0.91576567  1.28846449  0.91545061],1,1
12424.0,163,2,946.72,1.0986122886681098,6.854059099978276,[ 0.7074415  -0.34981663  0.35859855],0,0
12425.0,78,1,777.2,0.6931471805599453,6.6569835605504535,[-0.14424127 -0.95445744  0.19588277],0,0
12426.0,195,1,582.73,0.6931471805599453,6.369438547154207,[ 1.02807502 -0.95445744 -0.04152929],2,2
12427.0,22,3,825.8,1.3862943611198906,6.717562827807613,[-0.70534992  0.07918286  0.24590016],0,0
12428.0,26,8,5936.08,2.1972245773362196,8.688972708998824,[-0.66527073  1.28846449  1.87359834],1,1
12429.0,9,4,2861.36,1.6094379124341003,7.959401738369502,[-0.83560729  0.41194071  1.27122673],1,0
12430.0,43,1,256.4,0.6931471805599453,5.5506312951620265,[-0.49493418 -0.95445744 -0.717579  ],0,3
12431.0,60,13,4787.21,2.6390573296152584,8.473911925365181,[-0.32459762  1.94733774  1.69603301],1,1
12432.0,43,4,3120.32,1.6094379124341003,8.046011268254798,[-0.49493418  0.41194071  1.34273605],1,0
12433.0,1,7,11792.68,2.0794415416798357,9.375319073752134,[-0.91576567  1.11282316  2.44028147],1,1
12434.0,85,2,806.14,1.0986122886681098,6.6934971352559,[-0.07410269 -0.34981663  0.22603027],0,0
12435.0,268,1,331.20000000000005,0.6931471805599453,5.8057371971791945,[ 1.75952022 -0.95445744 -0.50695035],2,2
12436.0,100,1,509.01,0.6931471805599453,6.234430333369278,[ 0.07619427 -0.95445744 -0.15299907],0,0
12437.0,2,18,4688.61,2.9444389791664403,8.453104702332382,[-0.90574587  2.40273133  1.67885348],1,1
12438.0,14,2,2041.45,1.0986122886681098,7.621905346630361,[-0.7855083  -0.34981663  0.99257221],0,0
12441.0,367,1,173.55,0.6931471805599453,5.162211233551045,[ 2.75148016 -0.95445744 -1.03827874],2,2
12442.0,3,1,172.06,0.6931471805599453,5.153638355178593,[-0.89572607 -0.95445744 -1.04535695],0,3
12444.0,21,5,4165.46,1.791759469228055,8.334822033392163,[-0.71536972  0.68382367  1.58119318],1,1
12445.0,22,1,133.4,0.6931471805599453,4.900820428089049,[-0.70534992 -0.95445744 -1.25409653],0,3
12446.0,58,1,1002.3100000000001,0.6931471805599453,6.9110598129904375,[-0.34463722 -0.95445744  0.4056613 ],0,0
12447.0,243,1,476.49,0.6931471805599453,6.168543217293113,[ 1.50902529 -0.95445744 -0.20739889],2,2
12448.0,44,1,449.45,0.6931471805599453,6.110247083097449,[-0.48491438 -0.95445744 -0.2555312 ],0,3
12449.0,22,4,3776.29,1.6094379124341003,8.23676210027862,[-0.70534992  0.41194071  1.50022982],1,0
12450.0,156,2,197.88,1.0986122886681098,5.292701627762401,[ 0.63730292 -0.34981663 -0.9305391 ],2,2
12451.0,11,5,8447.52,1.791759469228055,9.041746557082035,[-0.81556769  0.68382367  2.16486671],1,1
12452.0,17,2,430.57,1.0986122886681098,6.067429722163682,[-0.75544891 -0.34981663 -0.29088343],0,3
12453.0,134,1,707.09,0.6931471805599453,6.562571204258897,[ 0.41686738 -0.95445744  0.11793104],0,0
12454.0,56,1,154.4,0.6931471805599453,5.046002437933547,[-0.36467681 -0.95445744 -1.13422674],0,3
12455.0,73,6,2206.7,1.9459101490553132,7.699706528600663,[-0.19434026  0.91369744  1.0568089 ],1,1
12456.0,44,3,2405.84,1.3862943611198906,7.786069962785956,[-0.48491438  0.07918286  1.12811503],1,0
12457.0,86,3,1332.53,1.3862943611198906,7.1955848405568625,[-0.06408289  0.07918286  0.64057991],0,0
12458.0,71,2,947.4,1.0986122886681098,6.854776354191251,[-0.21437985 -0.34981663  0.35919076],0,0
12461.0,155,1,626.88,0.6931471805599453,6.442349065407006,[ 0.62728312 -0.95445744  0.01866941],0,0
12462.0,19,2,1021.59,1.0986122886681098,6.930093903603365,[-0.73540931 -0.34981663  0.42137683],0,0
12463.0,53,4,1344.78,1.6094379124341003,7.204729049594601,[-0.3947362   0.41194071  0.64812984],1,0
12464.0,10,8,987.8,2.1972245773362196,6.896492086703426,[-0.82558749  1.28846449  0.39363343],1,0
12465.0,17,2,742.1899999999999,1.0986122886681098,6.610951732080795,[-0.75544891 -0.34981663  0.15787651],0,3
12468.0,188,2,729.5400000000001,1.0986122886681098,6.593783986707386,[ 0.95793644 -0.34981663  0.14370193],2,0
12471.0,2,28,12646.13,3.367295829986474,9.445185590944725,[-0.90574587  3.03330719  2.49796689],1,1
12472.0,32,7,6230.11,2.0794415416798357,8.737309766055546,[-0.60515195  1.11282316  1.91350792],1,1
12473.0,29,5,2828.65,1.791759469228055,7.94790830807725,[-0.63521134  0.68382367  1.26173716],1,1
12474.0,17,18,7324.09,2.9444389791664403,8.899060720499207,[-0.75544891  2.40273133  2.04705789],1,1
12475.0,54,1,723.38,0.6931471805599453,6.585316116572351,[-0.38471641 -0.95445744  0.13671042],0,3
12476.0,16,11,5827.62,2.4849066497880004,8.670535544635552,[-0.76546871  1.71746397  1.85837566],1,1
12477.0,23,6,9237.69,1.9459101490553132,9.131155379692945,[-0.69533012  0.91369744  2.23868727],1,1
12478.0,4,1,545.99,0.6931471805599453,6.304430520719223,[-0.88570627 -0.95445744 -0.09520329],0,3
12479.0,11,1,527.2,0.6931471805599453,6.269474999863032,[-0.81556769 -0.95445744 -0.12406438],0,3
12480.0,28,4,2694.83,1.6094379124341003,7.8994614136642385,[-0.64523114  0.41194071  1.22173689],1,0
12481.0,23,10,4997.42,2.3978952727983707,8.516877141477718,[-0.69533012  1.5877102   1.73150732],1,1
12483.0,17,8,2124.98,2.1972245773362196,7.66198815151992,[-0.75544891  1.28846449  1.02566666],1,1
12484.0,35,4,3939.32,1.6094379124341003,8.279017217268066,[-0.57509256  0.41194071  1.53511783],1,0
12488.0,10,3,1298.66,1.3862943611198906,7.169857970780942,[-0.82558749  0.07918286  0.61933847],0,0
12489.0,336,1,334.93,0.6931471805599453,5.816902804925467,[ 2.44086644 -0.95445744 -0.49773144],2,2
12490.0,5,10,5117.21,2.3978952727983707,8.540560047530949,[-0.87568648  1.5877102   1.75106115],1,1
12491.0,39,1,460.40000000000003,0.6931471805599453,6.134265345739653,[-0.53501337 -0.95445744 -0.23570048],0,3
12492.0,63,2,263.21000000000004,1.0986122886681098,5.5767442414854775,[-0.29453823 -0.34981663 -0.6960188 ],0,3
12493.0,166,2,433.74,1.0986122886681098,6.0747481512447195,[ 0.73750089 -0.34981663 -0.28484096],0,0
12494.0,16,7,1246.1000000000001,2.0794415416798357,7.128576134926702,[-0.76546871  1.11282316  0.58525405],1,0
12497.0,82,1,505.5,0.6931471805599453,6.227524323688738,[-0.10416208 -0.95445744 -0.15870103],0,3
12498.0,21,3,403.70000000000005,1.3862943611198906,6.00314605188182,[-0.71536972  0.07918286 -0.34395936],0,0
12500.0,23,11,1342.54,2.4849066497880004,7.203063200593359,[-0.69533012  1.71746397  0.64675443],1,1
12501.0,337,1,2025.39,0.6931471805599453,7.614011163815439,[ 2.45088624 -0.95445744  0.98605437],2,2
12502.0,96,5,2820.67,1.791759469228055,7.945084187233337,[0.03611508 0.68382367 1.25940542],1,1
12504.0,18,2,146.65,1.0986122886681098,4.994844608189932,[-0.74542911 -0.34981663 -1.1764653 ],0,3
12506.0,233,1,73.5,0.6931471805599453,4.310799125385514,[ 1.40882732 -0.95445744 -1.7412487 ],2,2
12507.0,134,3,794.89,1.3862943611198906,6.679460985340359,[0.41686738 0.07918286 0.2144413 ],0,0
